"filename", "language", "Groovy", "YAML", "JSON", "Properties", "C++", "HTML", "Dart", "Swift", "XML", "Markdown", "TypeScript", "JavaScript", "JSON with Comments", "Java", "comment", "blank", "total"
"/home/manman/Github/tichu_flutter/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"/home/manman/Github/tichu_flutter/analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"/home/manman/Github/tichu_flutter/android/app/build.gradle", "Groovy", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 75
"/home/manman/Github/tichu_flutter/android/app/google-services.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"/home/manman/Github/tichu_flutter/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"/home/manman/Github/tichu_flutter/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 1, 35
"/home/manman/Github/tichu_flutter/android/app/src/main/java/io/flutter/app/FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"/home/manman/Github/tichu_flutter/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/home/manman/Github/tichu_flutter/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"/home/manman/Github/tichu_flutter/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/home/manman/Github/tichu_flutter/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"/home/manman/Github/tichu_flutter/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"/home/manman/Github/tichu_flutter/android/build.gradle", "Groovy", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"/home/manman/Github/tichu_flutter/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/manman/Github/tichu_flutter/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/manman/Github/tichu_flutter/android/settings.gradle", "Groovy", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/manman/Github/tichu_flutter/firebase.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/home/manman/Github/tichu_flutter/functions/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"/home/manman/Github/tichu_flutter/functions/package-lock.json", "JSON", 0, 0, 7913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7914
"/home/manman/Github/tichu_flutter/functions/package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
